-71	1303	-2147	-4669	-2970	-186	753	201	-632	-367	1197	2070	1618	1592	2084	1775	1407	1394	-121	-2764	-2922	296	2924	1868	-689	-1277	-759	-1483	-1679	728	2564	677	-1851	-1337	604	1023	239	125	1083	1799	1217	241	-6	-439	-1461	-961	1520	2743	957	-1396	-1992	-1519	-1554	-2215	-2443	-1825	-1295	-1266	-1033	-438	34	207	77	-375	-977	-1276	-353	1712	2591	1614	1990	4630	5342	2258	-419	1226	5418	6580	2583	-1156	-779	-2150	-8284	-9895	-3027	1099	-2693	-4506	-467	1542	-149	199	2001	966	-1323	-1027	1140	1833	-718	-4354	-4517	-988	841	357	4062	11203	10791	1186	-5640	-3241	1411	1478	-1440	-3468	-3546	-2498	-1129	156	1214	2101	3137	3377	830	-3080	-3631	108	3188	2002	-1035	-1492	721	1589	-358
-1577	-1573	-2333	-3142	-3229	-509	2779	1420	-2056	-1113	2167	2236	686	820	1657	2127	2482	1783	-530	-2871	-2886	120	2935	1856	-1024	-1516	-1009	-1804	-1303	1217	1547	-874	-1622	259	1643	1251	346	134	816	1547	1451	730	-213	-1113	-891	926	2349	1492	-442	-1275	-1025	-1232	-2507	-3500	-2598	-884	-850	-2068	-2012	-486	848	1228	731	-413	-1471	-1438	226	2140	1772	133	1405	5223	5958	2187	-647	1477	5552	5741	1833	-436	-317	-4035	-10042	-8175	-28	1409	-4110	-4555	699	2228	9	162	1359	-14	-1371	295	2323	980	-2899	-4740	-2653	-607	-1397	-64	6994	12171	7281	-1785	-4370	-677	1893	487	-2282	-3562	-2770	-1237	-265	470	1655	2825	3229	2274	-467	-3312	-3041	466	2912	1349	-1409	-1154	1074	1198	-810
-3563	-547	730	-1785	-4248	-1879	2534	2346	-1119	-1641	92	417	1175	3565	3969	1539	-169	-190	-558	-1753	-1947	79	2243	1776	-41	-699	-1258	-2442	-1866	168	459	-500	-210	564	675	1002	1380	1061	961	1366	1098	218	-492	-952	-394	1641	2941	1628	-619	-1400	-884	-949	-2526	-3821	-2737	-1102	-1499	-2141	-972	-137	-659	-152	1418	1101	-1405	-2752	-689	2379	2364	604	2003	5618	5622	1736	-105	2780	6067	4539	242	-582	-1	-5129	-10929	-6792	1222	188	-4995	-2900	2078	1591	-406	959	1727	-745	-2340	85	2971	1013	-4049	-4473	-126	138	-3572	93	10912	13648	3841	-5066	-4208	507	1627	-923	-3405	-3374	-1925	-1293	-984	569	2434	3239	3179	1886	-951	-2797	-1192	2059	2903	501	-1779	-973	1168	944	-1236
-1306	3210	-6	-5071	-4767	-542	2776	2282	-746	-1822	83	1722	2431	3144	2168	-249	-678	455	-107	-1565	-1127	662	1530	636	-1056	-1618	-779	-460	-904	-538	224	205	297	922	852	183	226	951	1376	1102	468	140	156	73	399	1576	2078	582	-1409	-1709	-678	-598	-2257	-3406	-2326	-1077	-1423	-1580	-493	-208	-1137	-1016	472	825	-1025	-2226	78	3280	2785	948	2920	5956	4043	-386	-141	4574	6568	2848	-513	690	-312	-7798	-11243	-3644	2497	-2138	-6247	-1159	3536	1057	-1344	546	1514	-447	-1016	1282	2135	-952	-3959	-2802	-790	-2185	-2507	4042	11658	10248	1328	-4746	-3263	1106	2242	-780	-3622	-3161	-1668	-1536	-1195	650	2523	3413	2930	471	-2123	-1736	877	2331	1579	-57	-968	-293	716	-15	-1760
-1225	2952	-1741	-6139	-2890	1910	2351	190	-1475	-1091	1156	2705	2433	1768	1118	657	1164	1023	-1166	-2645	-1219	1177	2168	941	-1499	-2260	-925	-495	-853	510	1833	727	-540	-218	164	241	631	701	684	1303	1426	478	-227	-354	-287	574	1698	1165	-801	-1816	-1138	-712	-1902	-2970	-2134	-1238	-2039	-2296	-359	947	-214	-1199	-239	440	-480	-655	1038	1910	974	1594	4699	5907	2966	-34	1136	4520	5062	2366	833	272	-4348	-9930	-7109	902	1112	-5258	-5191	1320	3054	-690	-1527	1114	1418	-618	-552	1366	1021	-1633	-2953	-2505	-2722	-3074	-785	4430	9400	9720	3502	-4043	-4634	966	3437	-576	-4188	-2861	-320	-225	-868	312	2705	3851	2121	-1319	-2824	-646	2155	2032	-217	-1562	-940	459	1001	22	-1682
-3323	1163	-1544	-5016	-1318	3683	2492	-1634	-2272	451	1902	312	-531	1811	3893	3212	1708	-11	-2417	-2941	-207	2439	1992	-716	-2760	-1909	390	724	-398	-168	529	-167	-666	367	1282	746	-386	-442	1076	2274	1258	-602	-1151	-670	221	1701	2434	883	-1356	-1704	-658	-656	-2120	-3110	-2555	-1586	-1194	-815	-155	-174	-1003	-890	600	784	-1121	-1402	1113	1986	83	700	5069	7165	4082	531	1202	3982	4028	1788	1120	-25	-5536	-9460	-4634	1407	-1328	-6343	-3588	2060	2108	-538	-125	1403	594	-533	506	1415	-221	-2260	-2585	-2762	-3421	-2716	-137	4242	9609	10688	3624	-4434	-4388	405	1465	-1188	-2561	-1915	-1236	-919	18	1830	3126	2648	967	-751	-1628	-514	1728	1538	-1431	-2642	-512	1410	1104	-162	-1757
-3793	-562	-2238	-3305	497	3539	1352	-1956	-1476	1099	1373	-256	308	2998	3970	2891	1942	489	-1995	-2659	-346	1596	794	-904	-1363	-1147	-1104	-402	984	1219	-255	-1539	-1063	533	1275	289	-555	423	1407	595	-212	245	202	-529	124	1838	2131	402	-1376	-1191	46	-658	-3051	-3287	-1049	-231	-1709	-2138	-464	279	-1064	-1494	149	476	-1154	-392	2658	2246	-820	613	5805	6831	2875	840	3189	4975	3361	1667	1332	-1984	-7999	-8472	-2132	614	-3820	-6090	-1811	2238	1825	206	128	625	531	378	542	-245	-2184	-2796	-1547	-1242	-2591	-3167	-892	5142	11726	10661	674	-6724	-3890	1757	2239	-332	-1972	-2317	-1332	239	822	918	1563	1618	439	-532	-282	684	1195	164	-1544	-1516	447	1821	1165	-768	-2852
-3410	-216	-2484	-3872	661	3902	562	-2963	-1387	1025	618	652	2628	3023	1885	2625	3262	61	-3596	-2750	679	2184	1031	-849	-1657	-1187	-694	-321	693	1306	240	-1139	-1048	-109	111	-487	-402	1204	2581	1595	-562	-1131	-174	328	281	881	1674	1136	-491	-1237	-658	-791	-2327	-3043	-2081	-1309	-1352	-889	-114	-225	-688	-730	-1062	-1545	-552	1437	1693	244	761	4231	6649	5030	1770	1106	2976	3726	2959	2926	1173	-5284	-9643	-4661	1797	-741	-6193	-4347	706	1362	55	582	780	-595	-955	790	1931	-265	-3729	-3723	-792	37	-2107	-3460	-1368	4522	10667	9670	877	-5400	-2911	1783	2248	149	-1749	-2569	-1297	813	1225	774	1040	570	-849	-517	1355	1457	-387	-1385	-761	165	844	1040	259	-1190	-2386
-4310	-1361	-2730	-3342	1452	3948	-485	-3518	-833	945	73	1904	4597	2747	32	1454	2804	22	-2694	-1466	1075	1433	198	-342	-351	-1404	-2216	-490	1717	1322	-238	-678	-456	109	754	-78	-1310	-19	2206	1801	53	-199	122	-400	-560	589	1751	1346	-221	-1120	-1026	-1525	-2459	-2002	-973	-1551	-2692	-2082	-582	79	239	-145	-1536	-1961	143	1941	804	-340	2280	6256	6608	3674	1752	2199	2582	2246	3177	3793	-511	-7549	-8462	-2369	517	-3517	-5740	-1806	1564	949	352	844	190	-420	693	1574	222	-2296	-3324	-1775	25	-672	-2869	-3550	-900	5094	10492	9009	1134	-4669	-3591	226	2245	1516	-1443	-3838	-2357	1164	2403	1346	330	-326	-479	450	1094	178	-976	-1047	-378	642	1375	713	-590	-1091	-1731
-3113	-3363	-3551	-997	2387	1712	-1868	-2383	268	1143	499	1914	3275	1932	1412	3219	2558	-1416	-3309	-1434	691	1078	532	-19	-381	-760	-908	-275	520	529	-123	-1002	-1178	282	1498	146	-1353	-166	1417	1205	853	623	-597	-929	772	1700	723	66	167	-268	-944	-1294	-1760	-2267	-2237	-1822	-1620	-1595	-1152	-264	-170	-1422	-1962	-202	1671	1098	-223	1087	4457	6202	4769	2346	1383	1916	2612	3290	4306	3165	-2562	-8221	-6609	-883	-769	-5403	-5330	-179	2189	897	366	346	-663	-336	1935	2388	-696	-3761	-2770	477	299	-3790	-5592	-2070	3183	6904	8319	6149	992	-2993	-2922	-197	1972	820	-3192	-4955	-1297	3219	3260	513	-876	-503	718	2080	1845	-181	-1588	-1470	-967	-126	988	1089	118	-1130	-2538
